analysis_id,study_label_verbatim,appears_in,source_pages,certainty,note
,Hu[7],TABLE,3,KNOWN,
,Liu[11],TABLE,3,KNOWN,
,Yang[12],TABLE,3,KNOWN,
,Hong[9],TABLE,3,KNOWN,
,Gardini[13],TABLE,3,KNOWN,
,Wang[14],TABLE,3,KNOWN,
,Geng[8],TABLE,3,KNOWN,
,Loll[15],TABLE,3,KNOWN,
,Loll[16],TABLE,3,KNOWN,
,Huang[17],TABLE,3,KNOWN,
,Ha[18],TABLE,3,KNOWN,
,Gao[10],TABLE,3,KNOWN,
,Passardi[19],TABLE,3,KNOWN,
,Jin[20],TABLE,3,KNOWN,
,Feng[21],TABLE,3,KNOWN,
,Tong[22],TABLE,3,KNOWN,
,wang[23],TABLE,3,KNOWN,lowercase w as printed; case is only discriminator vs Wang[27]
,Yang [24],TABLE,3,KNOWN,
,Yu[25],TABLE,3,KNOWN,
,Conroy[26],TABLE,3,KNOWN,
,Wang[27],TABLE,3,KNOWN,
,Chen[28],TABLE,3,KNOWN,
,Hong (2015),FOREST_PLOT,4,KNOWN,
,Loll (2016),FOREST_PLOT,4,KNOWN,spelling varies: Loll (Table1/Fig2) vs Lolli (Fig5/references)
,Passardi (2016),FOREST_PLOT,4;6,KNOWN,
,Liu (2015),FOREST_PLOT,4,KNOWN,
,wang (2017),FOREST_PLOT,4,KNOWN,lowercase w as printed; case is only discriminator vs Wang[27]
,Tong (2017),FOREST_PLOT,4,KNOWN,
,Jin (2017),FOREST_PLOT,4,KNOWN,
,Yu (2017),FOREST_PLOT,4;6,KNOWN,
,Conroy (2017),FOREST_PLOT,4,KNOWN,
,Huang (2016),FOREST_PLOT,4,KNOWN,
,Ha (2016),FOREST_PLOT,4,KNOWN,
,Wang (2017),FOREST_PLOT,4;6,KNOWN,
,Yang (2017),FOREST_PLOT,4;6,KNOWN,
,Gardini (2016),FOREST_PLOT,4;6,KNOWN,
,Chen (2017),FOREST_PLOT,4;6,KNOWN,
,Hu (2014),FOREST_PLOT,4;6,KNOWN,
,Gao (2016),FOREST_PLOT,4;6,KNOWN,
,Geng (2016),FOREST_PLOT,4,KNOWN,
,Yang (2015),FOREST_PLOT,4,KNOWN,
,Wang (2016),FOREST_PLOT,6,KNOWN,
,Lolli (2016),FOREST_PLOT,6,KNOWN,spelling varies: Loll (Table1/Fig2) vs Lolli (Fig5/references)
,Feng (2017),FOREST_PLOT,6,KNOWN,
