contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
NIS-CON-1,INTERNAL,"Trial 49653/330 patient counts disagree between tables (diff exactly 9/5, unexplained, untouched by erratum). Table 4 pooled denominators (10,285; 6106; 6,845; 3980) reproduce EXACTLY only with the Table 3 values; Table 1 subtotal 9,507/5,960 and grand total 15,565/12,282 reproduce EXACTLY only with the Table 1 values - each table internally consistent, mutually inconsistent; consequently Table 3 n-columns sum to 15,556/12,277, not the Table 1 totals","1,181 rosiglitazone / 382 control","Table 1, PDF p5",1172 rosiglitazone / 377 control,"Table 3, PDF p10 (Table 4, PDF p12, provably follows Table 3)",KNOWN,verified arithmetically and independently by both passes
NIS-CON-2,INTERNAL,Arm-description conflict for trial 49653/136: Table 1 describes the arms as rosiglitazone vs placebo; Table 2 describes the same trial as rosiglitazone+sulfonylurea/insulin vs sulfonylurea/insulin usual care in type 2 DM with chronic renal failure,'Rosiglitazone' (148) vs 'Placebo' (143),"Table 1, PDF p5","'Rsg/Su/insulin' vs 'Su/insulin' (usual care), chronic renal failure population","Table 2, PDF p8",KNOWN,both printings recorded verbatim; which description is authoritative is UNRESOLVED (an add-on placebo design could make both defensible; Table 1 also prints 'Placebo' for 49653/134 whose Table 2 arms share background Gly/Met - same labeling hazard)
NIS-CON-3,INTERNAL,"EXPLAINED GUARD ROW - zero-event exclusion bookkeeping, MI: Methods p2 states 38 of the 42 included trials reported at least one MI; Table 3 shows exactly 4 trials with 0 MI in both arms (49653/095, 49653/234, 49653/331, SB-712753/009); 42-4=38. CONSISTENT - an auditor comparing '42 trials' vs '38 analyzed' should NOT flag this",42 trials listed in Table 3,"Table 3, PDF pp10-11",38 trials in MI analysis,"Methods, PDF p2; confirmed by Table 4 MI denominators 10,285/6106",KNOWN,exclusion rule Methods p3 ('no adverse cardiovascular events in either group'); the excluded trials are never named in print - identities derived from Table 3 zero cells
NIS-CON-4,INTERNAL,"EXPLAINED GUARD ROW - zero-event exclusion bookkeeping, CV death: Methods p2 states 23 of 42 trials reported at least one CV death; Table 3 shows exactly 19 trials with 0 CV deaths in both arms; 42-19=23. CONSISTENT - should NOT be flagged",42 trials listed in Table 3,"Table 3, PDF pp10-11",23 trials in CV-death analysis,"Methods, PDF p2; confirmed by Table 4 CV-death denominators 6,845/3980",KNOWN,"the 19 zero-CV-death trials (derived): 49653/020, 49653/024, 49653/093, 100684, 49653/143, 49653/284, 712753/008, BRL 49653C/185, BRL 49653/347, 49653/080, 49653/097, 49653/125, 49653/127, 49653/128, 49653/147, 49653/234, SB-712753/003, SB-712753/007, SB-712753/009. Pass A's raw list erroneously included 49653/132 (Table 3 shows CV death 1/0) - corrected at reconciliation"
NIS-CON-5,INTERNAL,"Two included trials have zero events in ALL four cells yet remain among the 42 (49653/234: 116/61; SB-712753/009: 162/160), while Methods p2 says 6 other eligible trials were excluded for reporting no MI and no CV death (those 6 never named). Inclusion bookkeeping tension; the 38/23 counts themselves remain consistent (see NIS-CON-3/4)",49653/234 and SB-712753/009 rows all-zero but included,"Table 3, PDF p10",'6 [of 48] trials were excluded ... no myocardial infarctions or deaths from cardiovascular causes',"Methods, PDF p2",KNOWN,both all-zero trials contribute to no pooled estimate (excluded from both analyses per Methods p3 rule)
NIS-CON-6,INTERNAL,"Typo cluster (verbatim as printed, recorded once): (a) 'Rosiglitazone and sufonylurea' - missing 'l' - Table 1 p5, trial 49653/147 rosiglitazone arm (control cell 'Sulfonylurea' correct); (b) 'Ramipiril' for ramipril in DREAM expansion, text p2 AND Table 1 footnote p5 (reference 20 p14 spells 'ramipril' correctly); (c) ADOPT expanded 'A Diabetes Outcome Prevention Trial' p2 and p5 footnote (trial's actual name: A Diabetes Outcome Progression Trial); (d) 'Center for Drug Evaulation and Re-search' - reference 3, p14",sufonylurea; Ramipiril; A Diabetes Outcome Prevention Trial; Evaulation,"PDF pp2, 5, 14 as itemized",sulfonylurea; ramipril; A Diabetes Outcome Progression Trial; Evaluation,correct forms (ref 20 p14 for ramipril; external trial name for ADOPT),KNOWN,recorded verbatim; no correction applied to truth values
NIS-CON-7,INTERNAL,"Study-ID naming/ordering inconsistencies: '712753/008' printed without the 'SB-' prefix used for SB-712753/002/003/007/009; 'BRL 49653C/185' (Tables 1 and 3) vs 'BRL49653C/185' with no space (Table 2); 49653/137 ordered out of numeric sequence (after 49653/331) in both Tables 1 and 3; Table 1 text layer fuses superscript reference numerals onto IDs (e.g. '49653/0115-7', 'DREAM20')",712753/008; BRL 49653C/185,"Tables 1 and 3, PDF pp4-5, 10",SB-712753/00x; BRL49653C/185,"Tables 1-2, PDF pp4-9",KNOWN,label-matching hazard for automated row alignment; canonical forms in study_labels.csv
NIS-CON-8,INTERNAL,"Numeric formatting inconsistencies: Table 4 rosiglitazone-column denominators are comma-grouped ('44/10,285', '25/6,845', '12/2,635') while control-column denominators are not ('22/6106', '7/3980', '41/2895'); the erratum's own quotations omit the commas ('25/6845', '12/2635'); Table 1 uses comma grouping, Table 3 none; Table 5 insulin MI upper CI printed '13.3' (3 significant figures) while all other bounds carry 2 decimals","44/10,285; 25/6,845 (comma style)","Table 4, PDF p12",22/6106; 7/3980 (no comma); erratum quotes '25/6845',"Table 4, PDF p12; correction notice, PDF p16",KNOWN,formatting only - numeric values agree
NIS-CON-9,INTERNAL,"Table 2, trial 49653/137, control (Gly/Met) arm: baseline glycated hemoglobin cell is blank in the text layer, while the rosiglitazone arm of the same trial prints 'NA'",(blank cell),"Table 2, PDF p9, control arm",'NA',"Table 2, PDF p9, rosiglitazone arm",AMBIGUOUS,cannot determine whether the print shows an intentionally blank cell (= NA) or a dropped character; both passes flagged it independently
NIS-ERR-00,ERRATUM,"VERSION INVERSION: the corpus premise expected this artifact to be the pre-erratum June 14, 2007 print; it is in fact the POST-erratum corrected web version (every page stamped 'Downloaded from www.nejm.org on July 30, 2007'; PDF modDate 2007-07-30) with the full correction notice (N Engl J Med 2007;357:100) appended as PDF page 16. All 12 erratum-listed locations in the body carry the CORRECTED values",expected: pre-erratum print PDF,corpus/gold meta.json working assumption,actual: post-erratum web PDF + erratum as p16,"source/2457.pdf footer stamps, metadata, and location-by-location check (both passes)",KNOWN,consequence: table rows are version=AS_CORRECTED; AS_PUBLISHED (print) values recoverable ONLY where the erratum states originals (Table 1 subtotals). Acquiring the true print PDF remains desirable
NIS-ERR-01,ERRATUM,"Methods para 1, sentences 5-6 (journal p2458 = PDF p2): trial counts and patient totals corrected",NOT RECOVERABLE (erratum quotes corrected text only),pre-erratum print (not in this artifact),"'38 reported at least one myocardial infarction, and 23 reported at least one death...; 15,565 patients ... rosiglitazone, and 12,282 ... comparator'",correction notice PDF p16; body PDF p2 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-02,ERRATUM,"Methods para 3, last sentence (PDF p2): 35-trial group patient totals corrected",NOT RECOVERABLE from quote (implied 9502 / 5961 via NIS-ERR-03/04),pre-erratum print (not in this artifact),"'9507 patients ... rosiglitazone, and 5960 ... comparator'",correction notice PDF p16; body PDF p2 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-03,ERRATUM,"Table 1 subtotal, additional-trials group, rosiglitazone (journal p2461 = PDF p5)",9502,"pre-erratum print value, stated in erratum","9507 (printed '9,507')",correction notice PDF p16; body PDF p5 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only)
NIS-ERR-04,ERRATUM,"Table 1 subtotal, additional-trials group, control (PDF p5)",5961,"pre-erratum print value, stated in erratum","5960 (printed '5,960')",correction notice PDF p16; body PDF p5 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only)
NIS-ERR-05,ERRATUM,Table 1 totals (PDF p5),"NOT STATED in erratum (derived: 15,560 / 12,283)",pre-erratum print (derived from NIS-ERR-03/04 deltas),"15,565 / 12,282",correction notice PDF p16; body PDF p5 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-06,ERRATUM,"Table 4, myocardial infarction, small trials combined, rosiglitazone (journal p2468 = PDF p12)",NOT RECOVERABLE (erratum quotes corrected value only),pre-erratum print (not in this artifact),"'44/10,285'",correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-07,ERRATUM,"Table 4, myocardial infarction, small trials combined, control (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),'22/6106',correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-08,ERRATUM,"Table 4, myocardial infarction, ADOPT, control (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),'41/2895 (1.42)',correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-09,ERRATUM,"Table 4, CV death, small trials combined, rosiglitazone (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),"'25/6845 (0.36)' (body prints '25/6,845 (0.36)')",correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-10,ERRATUM,"Table 4, CV death, small trials combined, control (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),'7/3980 (0.18)',correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-11,ERRATUM,"Table 4, CV death, DREAM, rosiglitazone (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),"'12/2635 (0.46)' (body prints '12/2,635 (0.46)')",correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
NIS-ERR-12,ERRATUM,"Table 4, CV death, ADOPT, control (PDF p12)",NOT RECOVERABLE,pre-erratum print (not in this artifact),'5/2895 (0.17)',correction notice PDF p16; body PDF p12 (already corrected),KNOWN,pooled ORs/CIs/P values were NOT changed by the erratum (patient counts and Table 4 event/total cells only); pre-erratum value cannot be verified from this file alone - true print PDF needed
