contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
COO-CON-1,INTERNAL,"Participant count for primary Analysis 1.1: Abstract and Effects text say '35 trials (1356 participants)' while Comparison 1 summary table, Summary of findings table 1 and the forest totals (711+642) all say 1353 — internal inconsistency of 3 participants",1356,Abstract PDF p5; Effects text PDF p27,1353,Comparison 1 table PDF p104; SOF PDF p7; Analysis 1.1 forest totals PDF p106,KNOWN,found independently by both passes; review does not reconcile (possibly randomised vs analysed)
COO-CON-2,INTERNAL,"Heterogeneity qualifier for the same I2=63% in Analysis 1.1: Abstract calls it 'moderate heterogeneity', Effects text calls it 'substantial heterogeneity'",moderate heterogeneity (I2 = 63%),Abstract PDF p5,substantial heterogeneity (I2 = 63%),Effects text PDF p27,KNOWN,found independently by both passes
COO-CON-3,INTERNAL,"I2 precision for Analysis 1.1: forest plot prints I2=62.78% while Abstract and Effects text print 63%",62.78%,Analysis 1.1 forest heterogeneity line PDF p106,63%,Abstract PDF p5; Effects text PDF p27,KNOWN,rounding difference printed inconsistently; both passes recorded 62.78% as the forest value
COO-CON-4,INTERNAL,"Analysis 4.1 (exercise vs pharmacological) participant count: Effects text says 'four trials (298 participants)' while Abstract (n = 300), Comparison 4 summary table and forest totals (153+147=300) say 300",298,Effects text PDF p28,300,Abstract PDF p5; Comparison 4 table PDF p110; Analysis 4.1 forest totals PDF p110,KNOWN,logged by pass A; forest totals cited from pass A survey (analysis not truthed row-by-row)
COO-CON-5,INTERNAL,"Sign typo in Comparison 6 summary table: Outcome 4 (ITT-only sensitivity, Analysis 6.4) effect printed '-0.61 [1.00, -0.22]' — lower CI bound missing its minus sign; the Analysis 6.4 forest total prints '-0.61[-1,-0.22]'","-0.61 [1.00, -0.22]",Comparison 6 summary table PDF p120,"-0.61[-1,-0.22]",Analysis 6.4 forest total PDF p122,KNOWN,"found independently by both passes; recorded verbatim, not silently corrected"
COO-CON-6,INTERNAL,"Comparison 5 subgroup participant sums: outcomes 5.1-5.4 subgroup Ns each sum to 1352 (e.g. 5.1: 1080+128+144) while Analysis 1.1 and outcome 5.5 report 1353 for the same 35 trials — 1-participant bookkeeping discrepancy inside the summary tables",1352,Comparison 5 summary table outcomes 5.1-5.4 PDF p111-113,1353,Analysis 1.1 / outcome 5.5 PDF p104 and p113,KNOWN,logged by pass A
COO-CON-7,INTERNAL,"Multi-arm arm selection: the same study label carries different Ns across analyses. A1.1 uses analysed-participant Ns of the biggest-dose exercise arm; A1.3 uses randomised denominators and pools comparator arms. Examples (A1.1 exercise/control N -> A1.3 n/N): Klein 1985 14/8 -> 15/27 vs 16/24; Fremont 1987 18/16 -> 18/21 vs 31/40; Veale 1992 36/29 -> 36/48 vs 29/35; Williams 2008 17/12 -> 15/16 vs 20/22; Blumenthal 2012a control 21 -> 23/24; Krogh 2009 exercise 48 completers -> 48/55 randomised; also Blumenthal 1999 is 55 vs 48 in 1.1 but 53 vs 48 (mean 8.2 vs 8.7) in 4.1. Review states biggest-'dose' arm used for 10 multi-arm trials (smallest-dose version = Analysis 6.7)",e.g. Klein 1985 N=14/8,Analysis 1.1 forest PDF p105,e.g. Klein 1985 15/27 vs 16/24,Analysis 1.3 forest PDF p107,AMBIGUOUS,printed cells themselves are KNOWN/verbatim; which arms were pooled into each A1.3 cell is not stated at the plot and is AMBIGUOUS from the plots alone (both passes agree)
COO-CON-8,INTERNAL,"Cross-analysis arm reuse between Analysis 1.3 and Analysis 2.2: Fremont 1987 'Control' 31/40 in A1.3 is numerically identical to the 'Cognitive therapy' arm in Analysis 2.2; Klein 1985's 15/27 vs 16/24 also appears identically in Analysis 2.2 — comparator arms double-counted across comparisons",Fremont 1987 control 31/40; Klein 1985 15/27 vs 16/24,Analysis 1.3 forest PDF p106-107,identical n/N cells,Analysis 2.2 forest PDF p109,KNOWN,found independently by both passes
COO-CON-9,INTERNAL,"Blumenthal 1999 follow-up cells (Analysis 1.2) print Mean(SD) '10.6 (0.8)' / '11 (0.8)' — SDs an order of magnitude smaller than the same trial's post-treatment SDs (6.9/6.5); values look like SEs from the companion publication (Babyak 2000) deposited as SDs. Printed CI (-1.03 to 0.02) is consistent with the printed cells","10.6 (0.8) / 11 (0.8)",Analysis 1.2 forest PDF p106,"8.7 (6.9) / 7.8 (6.5) post-treatment",Analysis 1.1 forest PDF p105,AMBIGUOUS,SD-vs-SE suspicion cannot be resolved from this PDF; recorded verbatim and flagged (both passes); not corrected
COO-CON-10,INTERNAL,"Effect-measure mislabelling around Analysis 5.5 (type of control): summary table prints 'Mean Difference (IV, Fixed, 95% CI)' with pooled -1.57 [-1.97, -1.16] across trials using different depression scales, while every other reduction-in-symptoms analysis uses SMD Random; Discussion additionally quotes these MD values as 'SMD' (e.g. 'SMD -3.67, 95% CI -4.94 to -2.41')","MD (IV, Fixed) -1.57 [-1.97, -1.16]",Comparison 5 outcome 5 PDF p113,"quoted as 'SMD'",Discussion PDF p29,KNOWN,found independently by both passes (pass A adds the Discussion mislabel); analysis not truthed row-by-row
