contradiction_id,kind,description,side_a_value,side_a_source,side_b_value,side_b_source,certainty,note
YAN-CON-1,INTERNAL,HCC subgroup upper CI: Table 2 prints 1.59-2.38; Abstract and Results text print 1.59-2.80,2.38,"Table 2, PDF p.4",2.80,Abstract p.1 / Results p.3,KNOWN,both passes verified independently
YAN-CON-2,INTERNAL,Every OS partition's subgroup HRs fall below the overall pooled HR 1.69 (Asian 1.26/Caucasian 1.55; <=255 1.14/>255 1.31; <=560 1.21/>560 1.32) — arithmetically impossible for a partition of the same 22 studies,1.69 (1.42-2.01) overall,Figure 2 p.4,e.g. Asian 1.26 (1.12-1.40) + Caucasian 1.55 (0.84-2.27),Table 2 p.4,KNOWN,suggests Table 2 subgroup values are not what they claim to be (possible different scale/orientation or error)
YAN-CON-3,INTERNAL,p-values inconsistent with CIs in Table 2: Caucasian CI 0.84-2.27 crosses 1 with P=0.009; Sample<=255 CI 0.89-1.39 with P<0.001; Cutoff<=560 CI 1.00-1.43 with P<0.001,P=0.009 / P<0.001,Table 2 p.4,CIs crossing/touching 1,Table 2 p.4,KNOWN,
YAN-CON-4,INTERNAL,Figure 5 bottom panel (DFS/CSS/RFS) lacks an Overall row and x-axis labels; subtotal weights sum to 100.01 implying an unprinted combined pool across three different outcomes,subtotals 25.38+48.76+25.87,Figure 5 p.6,(no overall row),Figure 5 p.6,KNOWN,
YAN-CON-5,INTERNAL,"Abstract/Discussion claim separate significance for SCLC, NSCLC, Acral Melanoma (each p<0.001) but Table 2 pools them as one 'Other' subgroup with a single p — separate estimates never reported",three p<0.001 claims,Abstract p.1,"Other: 1.77 (1.30-2.41), one p<0.001",Table 2 p.4,KNOWN,
YAN-CON-6,INTERNAL,"'P for subgroup difference' <0.001 for every Table 2 block while meta-regression on same data reports no significant moderators (pEthnicity=0.777, pcutoff=0.139, etc.)",<0.001 (all blocks),Table 2 p.4,meta-regression ps 0.139-0.777,Results text p.3,KNOWN,
YAN-CON-7,INTERNAL,"Study-label inconsistencies: 'Loll' (Table 1, Figure 2) vs 'Lolli' (Figure 5, references); lowercase 'wang (2017)' vs capital 'Wang (2017)' as sole discriminator; duplicate unlabeled cohort rows (Hu x2, Geng x2, Loll x2)",Loll (2016),Figure 2 p.4,Lolli (2016),Figure 5 p.6,KNOWN,cohort-to-row attribution AMBIGUOUS for duplicates
YAN-CON-8,INTERNAL,"Lolli (2016) PFS row printed '1.71 (1.71, 2.21)' — lower CI equals point estimate; plotted whisker extends below marker (likely figure typo)","1.71 (1.71, 2.21)",Figure 5 p.6,whisker extends below marker,Figure 5 p.6 (visual),KNOWN,
YAN-CON-9,INTERNAL,"Conroy (2017) OS CI severely asymmetric: 1.63 (1.15, 4.19)","1.63 (1.15, 4.19)",Figure 2 p.4,,,KNOWN,recorded verbatim; possible transcription error in source
YAN-CON-10,EXTERNAL_CRITIQUE,"Possible citation misalignment: Table 1 Liu[11] cites a C-reactive-protein/albumin-ratio paper, Gao[10] cites a myeloid-derived-suppressor-cell paper — neither obviously an SII prognostic study",Liu[11] / Gao[10],Table 1 p.3,reference titles,References p.8,AMBIGUOUS,needs primary-study verification (later phase)
