analysis_id,outcome,timepoint,population,comparison,subgroup_of,effect_measure,model,n_studies_reported,pooled_effect,pooled_ci_lower,pooled_ci_upper,i2,tau2,q,p_value,source_page,source_figure,source_table,certainty,note
A1-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. control conditions (all) — Unpublished,A1-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),6,0.20,-0.11,0.51,4 (95%CI 0~63),,5.22 (df=5),0.20,12,Fig 2,Table 2,KNOWN,"Table 2 row 1; Fig 2 subtotal SE 0.16, Var 0.02, Z 1.28 (no significance mark in Table 2), figure p-Value 0.20; text p12: 'g = 0.20 (CI95% -0.11~0.51) in the 6 unpublished studies (n = 336)'; NPT/NComp = 190/146; also abstract p1; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A1-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. control conditions (all) — Published,A1-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),20,0.52,0.37,0.68,51 (95%CI 7~70),,39.04** (df=19),0.00,12,Fig 2,Table 2,KNOWN,"Table 2 row 1; Z=6.64**; Fig 2 subtotal SE 0.08, Var 0.01; text p12: 'g = 0.52 (0.37~0.68) in the 20 published studies (n = 1767)'; NPT/NComp = 959/808; also abstract p1"
A1-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. control conditions (all) — Published + unpublished,,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),26,0.39,0.08,0.70,50 (95%CI 12~67),,49.82** (df=25),0.01,12,Fig 2,Table 2,KNOWN,"Table 2 row 1; Z=2.47*; Fig 2 overall SE 0.16, Var 0.02; delta-g = -0.13, delta-g% = -25% ('25% decrease in effect size point estimate', text p12); NPT/NComp = 1149/954; Table 2, figure diamond and text agree"
A1-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. control conditions (all) — Published vs. Unpublished subgroup contrast,A1-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),6 vs 20,,,,,,Qbetw=3.34 (df=1),.07,12,,Table 2,KNOWN,Table 2 row 1; p printed in italics = non-significant trend (p < .10) per Table 2 legend
A1a-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. no-treatment control conditions — Unpublished,A1a-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),2,0.77,-0.07,1.61,2 (95%CI '-'),,1.02 (df=1),0.07,12,Fig 3,Table 2,KNOWN,"Table 2 row 1a; Z=1.79; Fig 3 subtotal SE 0.43, Var 0.18; text p13: 'g = 0.77 (-0.07~1.61)'; NPT/NComp = 45/14 (see DRI-CON-16); I2 CI printed '-' (see DRI-CON-15); pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A1a-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. no-treatment control conditions — Published,A1a-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),5,1.01,0.63,1.40,52 (95%CI 0~81),,8.39 (df=4),0.00,12,Fig 3,Table 2,KNOWN,"Table 2 row 1a; Z=5.20**; Fig 3 subtotal SE 0.20, Var 0.04; NPT/NComp = 188/122"
A1a-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. no-treatment control conditions — Published + unpublished,A1-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),7,0.97,0.62,1.32,39 (95%CI 0~73),,9.88 (df=6),0.00,12,Fig 3,Table 2,KNOWN,"Table 2 row 1a; Z=5.47**; Fig 3 overall SE 0.18, Var 0.03; delta-g = -0.04, delta-g% = -4% ('4% decrease ... to g = 0.97 (0.62~1.32)', text p13); NPT/NComp = 233/136"
A1a-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. no-treatment controls — Published vs. Unpublished subgroup contrast,A1a-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),2 vs 5,,,,,,Qbetw=0.28 (df=1),.60,12,,Table 2,KNOWN,Table 2 row 1a
A1b-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. treatment control conditions — Unpublished,A1b-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),4,0.11,-0.12,0.35,0 (95%CI 0~68),,1.59 (df=3),0.34,12,Fig 4,Table 2,KNOWN,"Table 2 row 1b; Z=0.96; Fig 4 subtotal SE 0.12, Var 0.01; text p13: 'g = 0.11 (-0.12~0.35) for the 4 unpublished studies'; NPT/NComp = 145/132; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A1b-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. treatment control conditions — Published,A1b-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),15,0.37,0.25,0.48,0 (95%CI 0~46),,11.83 (df=14),0.00,12,Fig 4,Table 2,KNOWN,"Table 2 row 1b; Z=6.35**; Fig 4 subtotal SE 0.06, Var 0.00; NPT/NComp = 771/686"
A1b-ALL,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. treatment control conditions — Published + unpublished,A1-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),19,0.26,0.02,0.51,0 (95%CI 0~43),,17.08 (df=18),0.04,12,Fig 4,Table 2,KNOWN,"Table 2 row 1b; Z=2.10*; Fig 4 overall SE 0.13, Var 0.02; delta-g = -0.11, delta-g% = -29% ('29% decrease ... to g = 0.26 (0.02~0.51)', text p13); NPT/NComp = 916/818"
A1b-QBET,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. treatment controls — Published vs. Unpublished subgroup contrast,A1b-ALL,Q-between (subgroup contrast),MIXED (fully random effects within subgroups; study-to-study variance pooled across subgroups; ANOVA-based Q-test),4 vs 15,,,,,,Qbetw=3.65 (df=1),.06,12,,Table 2,KNOWN,Table 2 row 1b; p printed in italics = non-significant trend (p < .10)
A2-UNPUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. other psychological treatment — Unpublished,A2-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),2,-0.05,-0.49,0.38,62 (95%CI '-'),,2.61 (df=1),0.81,12,Fig 5,Table 2,KNOWN,"Table 2 row 2; Z=-0.24; Fig 5 subtotal SE 0.22, Var 0.05; text p14: 'g = -0.05 (CI95% -0.49~0.38)' (n = 164); NPT/NComp = 78/86; I2 CI printed '-'; pooled entirely from author-supplied unpublished data; SOURCE_DATA_NOT_PUBLICLY_VERIFIABLE — values exist only in this paper (author-supplied data)"
A2-PUB,Depressive symptom severity,post-treatment,Adults with major depressive disorder (NIH-funded psychotherapy RCTs),PT vs. other psychological treatment — Published,A2-ALL,Hedges' g,RANDOM (Comprehensive Meta-analysis 2.2.064),12,0.17,-0.04,0.38,20 (95%CI 0~59),,13.74 (df=11),0.11,12,Fig 5,Table 2,KNOWN,"Table 2 row 2; Z=1.60; Fig 5 subtotal SE 0.11, Var 0.01; text p14 (n = 617); NPT/NComp = 286/331"
